Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB74263_component_65a,128.335854,-25.159441,102.76499938964844,2506.46337890625,128.33589286690216,-25.159352856938487,34.7851233056,1.1709765464318131,2.9542801526624016
SB74263_component_87a,127.407962,-25.465361,78.62300109863281,2382.51513671875,127.40800046240764,-25.46519296543561,31.943896232520004,0.9755695817525422,2.461284012643137
SB74263_component_97a,124.851195,-25.39165,74.22200012207031,2061.722412109375,124.8513368120148,-25.39147765063269,27.27296683527,1.0786903385339524,2.721449432706558
SB74263_component_101a,126.995584,-21.809355,67.94999694824219,1698.75,126.99586069909068,-21.80924739994856,18.86770836003,1.4274693981797406,3.601391099100821
SB74263_component_110a,123.792831,-25.577876,60.196998596191406,1504.925048828125,123.7929924983416,-25.577649882787608,17.75755368546,1.3436563889791153,3.3899375816321538
SB74263_component_113a,125.975519,-24.516302,60.18000030517578,2006.0,125.97568541838469,-24.516269090061712,18.9799019477,1.2567669201488552,3.1707224026238157
SB74263_component_173a,126.54609,-24.571119,35.13800048828125,1171.2667236328125,126.546209676146,-24.57111186512459,7.22101619633,1.9287469187385908,4.86607418304085
SB74263_component_193a,125.099701,-25.808657,31.739999771118164,857.8378295898438,125.09984068665824,-25.808513336377786,9.224327777,1.363856608339335,3.4409011191318344
SB74263_component_202a,125.589536,-25.371651,30.843000411987305,771.0750122070312,125.5896755745428,-25.37156496176319,12.21136605767,1.0011263430618376,2.5257616769759115
SB74263_component_228a,128.475062,-23.036804,26.85700035095215,706.76318359375,128.47515000358598,-23.03684527596605,23.13619059315,0.4601105287436416,1.160822056804104
SB74263_component_239a,125.904155,-24.237732,25.954999923706055,1081.4583740234375,125.90428875695774,-24.237688546310377,8.923499925589997,1.1528752807451412,2.908612107372207
SB74263_component_264a,126.931086,-25.544174,23.128000259399414,564.0975341796875,126.93115926407312,-25.54403049319913,19.732747667970003,0.46456559230542244,1.172061825781138
SB74263_component_268a,127.105909,-25.580317,22.413000106811523,589.8157958984375,127.10600200785608,-25.58020787315354,16.34956827903,0.5433632022531956,1.3708618921490727
SB74263_component_278a,122.84884,-21.935625,21.575000762939453,599.3056030273438,122.84915346655896,-21.93552290632228,13.31783576199,0.6421162855709626,1.6200080214621626
SB74263_component_283a,125.310758,-25.691448,22.22599983215332,600.7026977539062,125.3108277228822,-25.69127723189576,23.975747013120003,0.3674393627184598,0.9270201182883192
SB74263_component_286a,122.741037,-25.036289,20.638999938964844,573.3056030273438,122.74128976980022,-25.03608731595772,5.16123114497,1.5850094660390026,3.9988520876611133
SB74263_component_289a,124.334788,-24.190938,21.000999450683594,700.0333251953125,124.3349695776392,-24.190787154533897,9.03311673035,0.9215074718651696,2.324889634175012
SB74263_component_337a,123.151858,-24.239482,17.659000396728516,490.5278015136719,123.15204228091206,-24.23935451354232,8.590831017460001,0.8147557978980553,2.0555637005126015
SB74263_component_343a,124.373725,-25.609775,20.256000518798828,562.6666870117188,124.37348830319796,-25.61120333336918,1.83152666135,4.383661127321696,11.059626346835886
SB74263_component_344a,128.27864,-25.348943,17.62700080871582,476.4054260253906,128.27870289591056,-25.34885807450885,6.0737189441,1.1503241905267878,2.902175910829502
SB74263_component_426a,125.225253,-22.389406,14.939000129699707,466.8437194824219,125.22547998323812,-22.389412667833373,5.174184695549999,1.1443954536385466,2.8872181819384664
SB74263_component_430a,122.845463,-22.320083,13.470000267028809,354.47369384765625,122.84569485761573,-22.31999710057528,4.83975073864,1.1031666632940982,2.783201242056933
SB74263_component_445a,123.214682,-24.520672,13.486000061035156,345.79486083984375,123.21488484792592,-24.52043924137332,7.8494263155100015,0.6809916081571367,1.7180873504586722
SB74263_component_449a,126.813946,-21.89703,12.98900032043457,419.0000305175781,126.8142287080552,-21.89699670826943,5.767971434730001,0.8925841002650194,2.2519182813953353
SB74263_component_467a,124.697676,-22.796697,12.456999778747559,415.23333740234375,124.69792220848726,-22.79656782039492,5.499045967200002,0.8978889492907169,2.2653019911179975
SB74263_component_478a,128.144916,-22.561854,11.994000434875488,363.4545593261719,128.1449761821889,-22.56188940761412,6.06516289613,0.7838231941788317,1.977523215827971
SB74263_component_487a,122.883947,-24.860614,12.093999862670898,366.4848327636719,122.88415850117956,-24.86039072270743,4.4076027485800005,1.0875870654838937,2.743895163094548
