INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV,FSCALE,FMETHOD
0,0,EMU_1413-70,69812,0,69815,OBSERVED,14 13 40.491,-70 18 22.76,213.4187125,-70.3063222222222,309.804977885832,-8.53977156393277,99.976,5241861135.802751,36020.92032006195,36020.920320000005,36,5241914716.641436,133481776,15.000000000000012,15.000000000000012,0.0,-0.016049237921833992,1.1720303297042847,38.8447137299602,38.76184598365635,14.572423984979789,24.697854794600524,943.6587315740367,5241978231,4536,1,0,0,,0,1.0,--NULL--
1,1,EMU_1313-72,69699,0,69667,OBSERVED,13 13 21.588,-72 45 46.24,198.33995,-72.7628444444444,304.578509776225,-9.96121954061534,115.859,5241513989.284223,36010.96703961304,36010.96704,36,5241698834.581213,134211140,15.000000000000012,15.000000000000012,0.0,-0.02747468650341034,1.349613904953003,34.492535446200925,33.84029394123715,32.444394463424324,24.465950088557534,2294.922502770788,5241872177,4536,1,0,0,,0,1.0,--NULL--
2,2,EMU_1200-73,67157,0,67159,IMAGED,12 00 00,-73 39 49.07,180.0,-73.6636305555556,299.273559471896,-11.1583242937096,135.0,5236611690.553726,36010.96704056671,36010.96704,36,5236852524.574793,134402884,15.000000000000012,15.000000000000012,0.0,-0.005938978400081396,1.5571600198745728,32.0253154805539,31.736458914200384,32.128780349899685,22.08470838700868,1950.8269064686226,5236887698,4536,1,0,0,,0,1.0,--NULL--
3,3,EMU_1046-72,66742,0,66706,OBSERVED,10 46 38.411,-72 45 46.24,161.660045833333,-72.7628444444444,293.899041212392,-12.1176143247702,154.141,5235919869.911423,36030.87359955719,36010.96704,36,5235990557.784692,134402269,15.000000000000012,15.000000000000012,0.0,-0.018515003845095634,3.455204486846924,29.547145227046258,29.114386718346353,9.400959909003486,20.766300921797136,389.4062819880322,5236087055,4536,1,0,0,,0,1.0,--NULL--
4,4,EMU_0946-70,69666,0,69667,OBSERVED,09 46 19.508,-70 18 22.76,146.581283333333,-70.3063222222222,288.46748378731,-12.8277934563129,170.024,5241430489.227646,36010.96704056671,36010.96704,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0,0,,0,1.0,--NULL--
5,4,EMU_0946-70,71969,0,71970,OBSERVED,09 46 19.508,-70 18 22.76,146.581283333333,-70.3063222222222,288.46748378731,-12.8277934563129,170.024,5249015204.54899,36010.96703961304,36010.96704,36,5249083157.763685,134271599,15.000000000000012,15.000000000000012,0.0,-0.004040884785354137,0.811245858669281,30.556773414781485,30.010012742281216,9.756093203657354,21.590894199990625,552.8560073575416,5249130063,4536,1,0,0,,0,1.0,--NULL--
6,5,EMU_1515-72,69954,0,69943,OBSERVED,15 15 34.107,-72 04 25.51,228.8921125,-72.0737527777778,313.609514005958,-12.2585661279755,84.701,5242227094.352255,36010.96703961304,36010.96704,36,5242281455.496004,134121479,15.000000000000012,15.000000000000012,0.0,-0.017603451386094093,1.665848970413208,33.9739643440501,33.17025376816197,14.271539567836573,23.459470563680707,861.4219917554693,5242370745,4536,1,0,0,,0,1.0,--NULL--
7,6,EMU_1418-75,70504,0,70505,OBSERVED,14 18 42.284,-75 45 16.71,214.676183333333,-75.7546416666667,308.335577669397,-13.8065615350599,99.482,5245053751.333246,36020.92032006195,36020.920320000005,36,5245551246.468571,134046838,15.000000000000012,15.000000000000012,0.0,-0.003413065802305937,1.8486356735229492,34.14212623466113,33.624923543543545,11.972120956190851,23.423527769904563,545.2189236945625,5245677947,4536,1,0,0,,0,1.0,--NULL--
8,6,EMU_1418-75,70512,0,70505,OBSERVED,14 18 42.284,-75 45 16.71,214.676183333333,-75.7546416666667,308.335577669397,-13.8065615350599,99.482,5245149926.449534,35941.29408028534,35941.29408000001,36,5245561549.226248,134122731,15.000000000000012,15.000000000000012,0.0,-0.006787016987800598,1.7987455129623413,34.147011606316816,33.52155281031306,10.242602538182497,23.45412501235464,389.92802172435313,5245678006,4536,1,0,0,,0,1.0,--NULL--
9,7,EMU_1252-78,70403,0,70404,OBSERVED,12 52 05.776,-78 00 42.46,193.024066666667,-78.0117944444445,302.967341285719,-15.1400921316402,121.696,5244352087.33939,35961.200640229494,35961.20064,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0,0,,0,1.0,--NULL--
